"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","935","Example #4","chromium","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1358","Login with ""empty username"" credentials","firefox","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","879","Example #3","chromium","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","973","View Home","firefox","2026-04-07","passed","2026-04-07","Home","e2e/tests/features/home.feature.spec.js","",""
"","1441","Login with ""invalid password"" credentials","firefox","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1066","Login with ""empty username and password"" credentials","chromium","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1878","Example #4","webkit","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1281","Example #2","firefox","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1613","Add a random product to cart","chromium","2026-04-07","passed","2026-04-07","Add product to cart","e2e/tests/features/cart.feature.spec.js","",""
"","691","View header logo and store name","visual-chromium","2026-04-07","passed","2026-04-07","Home","e2e/tests/features/home.feature.spec.js","",""
"","2385","Login with ""invalid username"" credentials","webkit","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1109","Login with ""invalid username"" credentials","chromium","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","2624","Login with ""empty username"" credentials","webkit","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","3566","Login with ""valid"" credentials","webkit","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1495","Login with ""empty username and password"" credentials","firefox","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","7424","Add a random product to cart","webkit","2026-04-07","passed","2026-04-07","Add product to cart","e2e/tests/features/cart.feature.spec.js","",""
"","1423","Login with ""empty password"" credentials","firefox","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","2858","Add a random product to cart","firefox","2026-04-07","passed","2026-04-07","Add product to cart","e2e/tests/features/cart.feature.spec.js","",""
"","2157","Login with ""empty username and password"" credentials","webkit","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","642","View Home","chromium","2026-04-07","passed","2026-04-07","Home","e2e/tests/features/home.feature.spec.js","",""
"","1883","Example #3","webkit","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1148","Login with ""empty username"" credentials","chromium","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1541","Login with ""invalid username"" credentials","firefox","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1266","Example #4","firefox","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1398","View Home","webkit","2026-04-07","passed","2026-04-07","Home","e2e/tests/features/home.feature.spec.js","",""
"","944","Example #2","chromium","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1290","Example #3","firefox","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1169","Login with ""invalid password"" credentials","chromium","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","2560","Login with ""invalid password"" credentials","webkit","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1883","Example #2","webkit","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","911","Example #1","chromium","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1941","Example #1","webkit","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1294","Example #1","firefox","2026-04-07","passed","2026-04-07","Product Detail > View product detail correctly","e2e/tests/features/product_detail.feature.spec.js","",""
"","1417","Login with ""valid"" credentials","chromium","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","2214","Login with ""empty password"" credentials","webkit","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1061","Login with ""empty password"" credentials","chromium","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
"","1791","Login with ""valid"" credentials","firefox","2026-04-07","passed","2026-04-07","Login > Login with ""<type>"" credentials","e2e/tests/features/login.feature.spec.js","",""
